timestamp,open,high,low,close,volume
2025-09-25,657.9400,659.4100,654.4100,658.0500,89622100
2025-09-26,659.5100,662.3700,657.8800,661.8200,69179200
2025-09-29,664.3600,665.2800,661.8600,663.6800,73499000
2025-09-30,662.9300,666.6500,661.6100,666.1800,86288000
2025-10-01,663.1700,669.3700,663.0600,668.4500,72545400
2025-10-02,670.4500,670.5700,666.7800,669.2200,56896000
2025-10-03,669.9900,672.6800,668.1600,669.2100,70494400
2025-10-06,671.6200,672.5100,669.4600,671.6100,54623300
2025-10-07,672.5400,672.9900,667.6700,669.1200,72020100
2025-10-08,670.2500,673.2100,669.4200,673.1100,60702200
2025-10-09,673.5300,673.9400,669.2100,671.1600,66501900
2025-10-10,672.1300,673.9500,652.8400,653.0200,159422600
2025-10-13,660.6500,665.1300,659.7700,663.0400,79560500
2025-10-14,657.1700,665.8300,653.1700,662.2300,88779600
2025-10-15,666.8200,670.2300,658.9300,665.1700,81702600
2025-10-16,666.8200,668.7100,657.1100,660.6400,110563300
2025-10-17,659.5000,665.7600,658.1400,664.3900,96500900
2025-10-20,667.3200,672.2100,667.2700,671.3000,60493400
2025-10-21,671.4400,672.9900,669.9800,671.2900,56249000
2025-10-22,672.0000,672.0000,663.3000,667.8000,80564000
2025-10-23,668.1200,672.7100,667.8000,671.7600,65604500
2025-10-24,676.4600,678.4700,675.6500,677.2500,74356500
2025-10-27,682.7300,685.5400,682.1200,685.2400,63339800
2025-10-28,687.0500,688.9100,684.8300,687.0600,61738100
2025-10-29,688.7200,689.7000,682.8700,687.3900,85657100
2025-10-30,683.9000,685.9400,679.8300,679.8300,76335800
2025-10-31,685.0400,685.0800,679.2400,682.0600,87164100
2025-11-03,685.6700,685.8000,679.9400,683.3400,57315000
2025-11-04,676.1100,679.9600,674.5800,675.2400,78427000
2025-11-05,674.9800,680.8600,674.1700,677.5800,74402400
2025-11-06,676.4700,677.3800,668.7200,670.3100,85035300
2025-11-07,667.9100,671.0800,661.2100,670.9700,100592400
2025-11-10,677.2400,682.1800,675.0300,681.4400,75842900
2025-11-11,679.9500,683.5700,678.7300,683.0000,58953400
2025-11-12,684.7900,684.9600,680.9500,683.3800,62312500
2025-11-13,680.5000,680.8600,670.5200,672.0400,103457800
2025-11-14,665.3800,675.6600,663.2700,671.9300,96846700
2025-11-17,669.7000,673.7100,662.1700,665.6700,90456100
2025-11-18,662.1000,665.1200,655.8600,660.0800,114467500
2025-11-19,660.7800,667.3400,658.7500,662.6300,94703000
2025-11-20,672.9100,675.5600,651.8900,652.5300,165293500
2025-11-21,655.0500,664.5500,650.8500,659.0300,123956200
2025-11-24,662.6900,670.0600,661.5900,668.7300,80437900
2025-11-25,668.6300,676.2100,664.4800,675.0200,81077100
2025-11-26,677.6300,681.7000,676.7200,679.6800,71879600
2025-11-28,680.8600,683.6700,680.5000,683.3900,49212000
2025-12-01,678.8100,682.9900,678.7400,680.2700,61201200
2025-12-02,681.9200,683.8200,679.3300,681.5300,62953800
2025-12-03,680.5700,684.9100,679.6900,683.8900,57238500
2025-12-04,685.3000,685.3700,681.3400,684.3900,61970300
2025-12-05,685.4700,688.3900,684.5800,685.6900,79241000
2025-12-08,686.5900,686.6400,681.5700,683.6300,55231500
2025-12-09,683.1500,685.3900,682.5900,683.0400,58310100
2025-12-10,682.5600,688.9700,681.3100,687.5700,85671300
2025-12-11,685.1400,689.2500,682.1700,689.1700,86173700
2025-12-12,688.1700,688.8800,679.1700,681.7600,113160300
2025-12-15,685.7400,685.7600,679.2500,680.7300,90811000
2025-12-16,679.2300,681.0800,674.9800,678.8700,122030600
2025-12-17,679.8900,680.4400,671.2000,671.4000,110625200
2025-12-18,677.6000,680.7400,674.9000,676.4700,108650100
2025-12-19,676.5900,681.0900,676.4700,680.5900,103599500
2025-12-22,683.9400,685.3600,680.5900,684.8300,69556700
2025-12-23,683.9200,688.2000,683.8700,687.9600,64840000
2025-12-24,687.9500,690.8300,687.8000,690.3800,39445600
2025-12-26,690.6400,691.6600,689.2700,690.3100,41613300
2025-12-29,687.5400,689.2000,686.0700,687.8500,62559500
2025-12-30,687.4500,688.5600,686.5800,687.0100,47160700
2025-12-31,687.1400,687.3600,681.7100,681.9200,74144800
2026-01-02,685.7100,686.8700,679.8200,683.1700,89377200
2026-01-05,686.5400,689.4300,686.3800,687.7200,71927200
2026-01-06,687.9300,692.3200,687.7800,691.8100,69273800
2026-01-07,692.1900,693.9600,689.3200,689.5800,75588300
2026-01-08,688.8200,690.6200,687.4900,689.5100,64019200
2026-01-09,690.6300,695.3100,689.1800,694.0700,80125500
2026-01-12,690.6800,696.0900,690.6300,695.1600,63976000
2026-01-13,695.4900,696.0900,691.3500,693.7700,78309700
2026-01-14,691.0000,691.7200,686.0400,690.3600,94676700
2026-01-15,694.5700,695.4500,691.2500,692.2400,77862000
2026-01-16,693.6600,694.2500,690.1000,691.6600,79289200
2026-01-20,681.4900,684.7700,676.5700,677.5800,111623300
2026-01-21,679.6500,688.7400,678.1300,685.4000,127844500
2026-01-22,689.8500,691.1300,686.9200,688.9800,77112200
2026-01-23,688.1500,690.9600,687.1600,689.2300,63059600
2026-01-26,690.4900,694.1300,689.9200,692.7300,60473800
2026-01-27,694.1800,696.5300,693.5700,695.4900,55506100
2026-01-28,697.0500,697.8400,693.9400,695.4200,61172200
2026-01-29,696.3900,697.0600,684.8300,694.0400,97486200
2026-01-30,691.7900,694.2100,687.1200,691.9700,101835100
2026-02-02,689.5800,696.9300,689.4200,695.4100,79286500
2026-02-03,696.2100,696.9600,684.0300,689.5300,107904600
2026-02-04,690.3500,691.4500,681.7600,686.1900,105204600
2026-02-05,680.9400,683.6900,675.7900,677.6200,113610800
2026-02-06,681.4600,692.3100,680.8500,690.6200,89127600
2026-02-09,689.4200,695.8700,688.3400,693.9500,73885200
2026-02-10,694.9500,696.5400,691.6600,692.1200,65185700
2026-02-11,696.3900,697.1400,689.1800,691.9600,76353900
2026-02-12,694.2400,695.3500,680.3700,681.2700,118829000
2026-02-13,681.6900,686.2800,677.5200,681.7500,96267500
2026-02-17,680.1400,684.9400,675.7800,682.8500,81354700
2026-02-18,684.0200,689.1500,682.8300,686.2900,73570300
2026-02-19,683.8400,686.1800,681.5500,684.4800,58649400
2026-02-20,682.3200,690.0600,681.7300,689.4300,100034000
2026-02-23,687.8300,690.0000,680.3700,682.3900,90558100
2026-02-24,681.9000,688.3500,680.0000,687.3500,73798700
2026-02-25,690.1800,693.6800,690.1000,693.1500,56369500
2026-02-26,693.2800,693.3000,684.3500,689.3000,71671000
2026-02-27,683.0900,686.8600,681.6400,685.9900,83308900
2026-03-02,678.7000,688.6200,678.0200,686.3800,87477200
2026-03-03,675.0600,682.6100,669.6600,680.3300,105003100
2026-03-04,681.6300,687.0900,679.6200,685.1300,79182200
2026-03-05,682.0800,685.5300,675.6100,681.3100,106606500
2026-03-06,673.4100,676.1100,669.7600,672.3800,100687000
2026-03-09,666.3900,679.9200,662.3900,678.2700,102667700
2026-03-10,677.7200,683.3600,674.7600,677.1800,81505300
2026-03-11,677.5800,680.0800,673.3400,676.3300,68441700
2026-03-12,671.1600,671.6500,665.8700,666.0600,108882200
2026-03-13,669.2700,672.3400,661.3600,662.2900,97200200
2026-03-16,668.3800,672.0700,667.1200,669.0300,82023100
2026-03-17,672.3900,674.4400,669.7000,670.7900,87128000
2026-03-18,668.3600,669.7200,661.1900,661.4300,82062600
2026-03-19,656.9700,662.9800,655.1700,659.8000,111272500
2026-03-20,656.5100,656.6900,644.7200,648.5700,163617500
2026-03-23,658.0700,662.6200,653.9400,655.3800,134802700
2026-03-24,651.3200,657.0300,649.8800,653.1800,96457500
2026-03-25,658.6700,660.8900,654.2400,656.8200,90653800
2026-03-26,652.0600,654.8500,644.8200,645.0900,96494400
2026-03-27,642.5000,642.6600,633.1100,634.0900,103649400
2026-03-30,640.1100,640.3700,629.2800,631.9700,99275900
2026-03-31,638.9400,651.5400,637.9800,650.3400,152534100
2026-04-01,653.9000,658.5200,653.0000,655.2400,97841500
2026-04-02,646.4200,658.2000,645.1100,655.8300,68358700
2026-04-06,655.8600,659.7200,655.5200,658.9300,39105800
2026-04-07,656.6500,659.6100,651.0600,659.2200,69980400
2026-04-08,676.3900,677.0800,671.4600,676.0100,93606100
2026-04-09,674.8400,681.1600,673.7700,679.9100,57134400
2026-04-10,681.3200,682.0300,678.4500,679.4600,42253500
2026-04-13,677.4100,686.3000,676.5800,686.1000,54185800
2026-04-14,687.6900,694.5800,687.6600,694.4600,63480500
